Pass,key,n_prompts,n_raters,Krippendorff_Ordinal,Krippendorff_Interval
1,steerability,1764,3,0.8038667791863899,0.8061196923190292
1,factual_integrity,1800,3,0.7519178306772354,0.7519178306772355
1,logical_coherence,1800,3,0.810664870743312,0.810664870743312
1,behavioral_resistance,1800,3,0.3756117441215381,0.3756117441215381
1,output_shape,1800,3,0.6445490175769542,0.6445490175769543
1,tonal_change,1800,3,0.6363820043103448,0.6363820043103448
2,factual_drift,1147,3,0.6891420770982466,0.7273342048817086
2,monotonic_factual_scaling,1147,3,0.4957268579031986,0.5013335676747102
2,hallucinated_specificity,1147,3,0.6650081042099265,0.7703872042517368
2,factual_reversal,1147,3,0.7655042936652103,0.7668387708705373
2,label_content_contradiction,1147,3,0.6771864173927666,0.6809887689961408
2,option_label_mismatch,1147,3,0.7217815719590219,0.681968676050078
2,repetition_looping,1147,3,0.8400658259508764,0.9088238602960339
2,sensitivity_refusal,1147,3,0.6601823368655676,0.6542211772851187
2,logit_text_decoupling,1147,3,0.3894177835289808,0.48011927234880536
2,steering_asymmetry,1147,3,0.6850770257547791,0.6797120107319816
2,safety_override_resistance,1147,3,0.5256518208894994,0.5554461173090427
2,inverse_logit_polarity,1147,3,0.8696360174342648,0.7940953477633808
2,token_compression,1147,3,0.5091260985646587,0.5563686563921129
2,token_inflation,1147,3,0.7100161867100936,0.7383387553537576
2,implicit_assumption_injection,1147,3,0.5420484895859136,0.6179090757845425
2,neutralization_rephrasing,1147,3,0.45671671619677967,0.5084778695219665
2,hedging_escalation,1147,3,0.4973857253550339,0.5655234529613582
2,persona_amplification,1147,3,0.6045573530633512,0.6156638942731432
2,tonal_rigidity,1147,3,0.493100326614617,0.523493637509632
